,City,CERT,Acquiring Institution,Closing Date string,Closing Date,Updated Date,
Bank of Shorewood,Shorewood,22637,Heartland Bank and Trust Company,August 5 2011,5-Aug-11,16-Aug-12,2011-08-05-shorewood.svg
The First National Bank of Olathe,Olathe,4744,Enterprise Bank & Trust,August 12 2011,12-Aug-11,23-Aug-12,2011-08-12-firstolathe.ai.svg
Public Savings Bank,Huntingdon Valley,34130,"Capital Bank, N.A.",August 18 2011,18-Aug-11,15-Aug-12,2011-08-18-PublicSavingsBank.svg
Lydian Private Bank,Palm Beach,35356,"Sabadell United Bank, N.A.",August 19 2011,19-Aug-11,21-Mar-14,2011-08-19-lydian.svg
First Choice Bank,Geneva,57212,Inland Bank & Trust,August 19 2011,19-Aug-11,15-Aug-12,2011-08-19-firstchoicebank.ai.svg
First Southern National Bank,Statesboro,57239,Heritage Bank of the South,August 19 2011,19-Aug-11,21-Mar-14,2011-08-19-firstsouthernnational.ai.svg
CreekSide Bank,Woodstock,58226,Georgia Commerce Bank,September 2 2011,2-Sep-11,21-Mar-14,2011-09-02-CreeksideBank.svg
Patriot Bank of Georgia,Cumming,58273,Georgia Commerce Bank,September 2 2011,2-Sep-11,21-Mar-14,2011-09-02-PatriotBankofGeorgia.svg
The First National Bank of Florida,Milton,25155,CharterBank,September 9 2011,9-Sep-11,21-Mar-14,2011-09-09-fnbfFL.ai.svg
Citizens Bank of Northern California,Nevada City,33983,Tri Counties Bank,September 23 2011,23-Sep-11,9-Oct-12,2011-09-23-cbnc.ai.svg
Bank of the Commonwealth,Norfolk,20408,Southern Bank and Trust Company,September 23 2011,23-Sep-11,9-Oct-12,2011-09-23-bankofcommonwealth.ai.svg
First International Bank,Plano,33513,American First National Bank,September 30 2011,30-Sep-11,9-Oct-12,2011-09-20-firstintlbank.svg
Sun Security Bank,Ellington,20115,Great Southern Bank,October 7 2011,7-Oct-11,7-Nov-12,2011-10-07-sunsecurity.svg
The RiverBank,Wyoming,10216,Central Bank,October 7 2011,7-Oct-11,7-Nov-12,2011-10-07-theriverbank.ai.svg
Country Bank,Aledo,35395,Blackhawk Bank & Trust,October 14 2011,14-Oct-11,15-Aug-12,2011-10-14-countrybank.svg
First State Bank,Cranford,58046,Northfield Bank,October 14 2011,14-Oct-11,8-Nov-12,2011-10-14-firststatebank-nj.svg
"Blue Ridge Savings Bank, Inc.",Asheville,32347,Bank of North Carolina,October 14 2011,14-Oct-11,21-Mar-14,2011-10-14-blueridge.svg
Piedmont Community Bank,Gray,57256,State Bank and Trust Company,October 14 2011,14-Oct-11,21-Mar-14,2011-10-14-piedmont-ga.svg
Community Capital Bank,Jonesboro,57036,State Bank and Trust Company,October 21 2011,21-Oct-11,21-Mar-14,10-21-2011-commcapbk.svg
Community Banks of Colorado,Greenwood Village,21132,"Bank Midwest, N.A.",October 21 2011,21-Oct-11,2-Jan-13,2011-11-21-comm-bank-co.svg
Decatur First Bank,Decatur,34392,Fidelity Bank,October 21 2011,21-Oct-11,21-Mar-14,2011-10-21-decatur.ai.svg
Old Harbor Bank,Clearwater,57537,1st United Bank,October 21 2011,21-Oct-11,21-Mar-14,2011-10-21-oldharbor.ai.svg
All American Bank,Des Plaines,57759,International Bank of Chicago,October 28 2011,28-Oct-11,15-Aug-12,2011-11-28-allamerican.svg
SunFirst Bank,Saint George,57087,Cache Valley Bank,November 4 2011,4-Nov-11,16-Nov-12,2011-04-11-SunFirst.svg
"Mid City Bank, Inc.",Omaha,19397,Premier Bank,November 4 2011,4-Nov-11,15-Aug-12,2011-11-04-midcity2.ai.svg
Community Bank of Rockmart,Rockmart,57860,Century Bank of Georgia,November 10 2011,10-Nov-11,21-Mar-14,2011-11-10-rockmart-WTF.svg
Polk County Bank,Johnston,14194,Grinnell State Bank,November 18 2011,18-Nov-11,15-Aug-12,2011-18-11-Polk-County-Bank.svg
Central Progressive Bank,Lacombe,19657,First NBC Bank,November 18 2011,18-Nov-11,13-Aug-12,2011-11-18-centralprog.svg
Western National Bank,Phoenix,57917,Washington Federal,December 16 2011,16-Dec-11,12-Nov-13,12-16-11-westernnatl.svg
Premier Community Bank of the Emerald Coast,Crestview,58343,Summit Bank,December 16 2011,16-Dec-11,21-Mar-14,12-16-11-premier-fl.svg
Central Florida State Bank,Belleview,57186,"CenterState Bank of Florida, N.A.",January 20 2012,20-Jan-12,21-Mar-14,2012-1-20-cfsb.svg
American Eagle Savings Bank,Boothwyn,31581,"Capital Bank, N.A.",January 20 2012,20-Jan-12,25-Jan-13,2012-01-20-AmericanEagleSavingsBank-grid.jpg
The First State Bank,Stockbridge,19252,Hamilton State Bank,January 20 2012,20-Jan-12,21-Mar-14,2012-01-20-firststatebank-ga.svg
BankEast,Knoxville,19869,"U.S. Bank, N.A.",January 27 2012,27-Jan-12,21-Mar-14,2012-01-27-bank_east.ai.svg
Patriot Bank Minnesota,Forest Lake,34823,First Resource Bank,January 27 2012,27-Jan-12,12-Sep-12,2012-01-27-patriot-mn_2.svg
Tennessee Commerce Bank,Franklin,35296,Republic Bank & Trust Company,January 27 2012,27-Jan-12,21-Mar-14,2012-01-27-tenn-commerce.svg
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,16579,"CenterState Bank of Florida, N.A.",January 27 2012,27-Jan-12,21-Mar-14,2012-01-27-firstguarantee.svg
SCB Bank,Shelbyville,29761,"First Merchants Bank, National Association",February 10 2012,10-Feb-12,25-Mar-13,2012-02-10-scblogo.svg
Charter National Bank and Trust,Hoffman Estates,23187,"Barrington Bank & Trust Company, National Association",February 10 2012,10-Feb-12,25-Mar-13,2012-02-10-cnbt.svg
Home Savings of America,Little Falls,29178,No Acquirer,February 24 2012,24-Feb-12,17-Dec-12,2012-02-24-hsoa_logo.svg
Central Bank of Georgia,Ellaville,5687,Ameris Bank,February 24 2012,24-Feb-12,21-Mar-14,2012-02-24-cbg2.svg
Global Commerce Bank,Doraville,34046,Metro City Bank,March 2 2012,2-Mar-12,26-Jun-14,2012-03-02-global.ai.svg
New City Bank,Chicago,57597,No Acquirer,March 9 2012,9-Mar-12,29-Oct-12,2012-03-09-newcity.ai.svg
Covenant Bank & Trust,Rock Spring,58068,"Stearns Bank, N.A.",March 23 2012,23-Mar-12,21-Mar-14,2012-03-23-covenant-georgia.svg
Premier Bank,Wilmette,35419,International Bank of Chicago,March 23 2012,23-Mar-12,17-Oct-12,2012-03-25-Premier-il.svg
Fidelity Bank,Dearborn,33883,The Huntington National Bank,March 30 2012,30-Mar-12,4-Feb-14,2012-03-30-fidelitybank.svg
"Fort Lee Federal Savings Bank, FSB",Fort Lee,35527,Alma Bank,April 20 2012,20-Apr-12,17-May-13,2012-04-20-fort_lee.ai.svg
Palm Desert National Bank,Palm Desert,23632,Pacific Premier Bank,April 27 2012,27-Apr-12,17-May-13,2012-4-27-palm-desert-logo.svg
Plantation Federal Bank,Pawleys Island,32503,First Federal Bank,April 27 2012,27-Apr-12,21-Mar-14,2012-4-27-plantation.svg
Bank of the Eastern Shore,Cambridge,26759,No Acquirer,April 27 2012,27-Apr-12,17-Oct-12,2012-4-27-easternshore.svg
"Inter Savings Bank, fsb D/B/A InterBank, fsb/ Great Southern Bank",Maple Grove,31495,Great Southern Bank,April 27 2012,27-Apr-12,17-May-13,2012-4-27-interbank.svg
HarVest Bank of Maryland,Gaithersburg,57766,Sonabank,April 27 2012,27-Apr-12,17-May-13,2012-04-27-harvestbankmaryland.ai.svg
"Security Bank, National Association",North Lauderdale,23156,Banesco USA,"May,4 2012",4-May-12,21-Mar-14,2012-05-04-securitybank.ai.svg
"Alabama Trust Bank, National Association",Sylacauga,35224,Southern States Bank,"May,18 2012",18-May-12,21-Mar-14,2012-05-12-alabamatrust.svg
Waccamaw Bank,Whiteville,34515,First Community Bank,June 8 2012,8-Jun-12,21-Mar-14,2012-06-08-waccamawbank.svg
Farmers' and Traders' State Bank,Shabbona,9257,First State Bank,June 8 2012,8-Jun-12,10-Oct-12,2012-06-08-ftsb.svg
Carolina Federal Savings Bank,Charleston,35372,Bank of North Carolina,June 8 2012,8-Jun-12,21-Mar-14,2012-06-08-carolina.svg
First Capital Bank,Kingfisher,416,F & M Bank,June 8 2012,8-Jun-12,10-Jun-13,6-8-2012-firstcapital.svg
Putnam State Bank,Palatka,27405,Harbor Community Bank,June 15 2012,15-Jun-12,21-Mar-14,6-15-2012-putnam.svg
The Farmers Bank of Lynchburg,Lynchburg,1690,Clayton Bank and Trust,June 15 2012,15-Jun-12,21-Mar-14,2012-06-15-farmers_bank.ai.svg
Security Exchange Bank,Marietta,35299,Fidelity Bank,June 15 2012,15-Jun-12,21-Mar-14,2012-06-15-security.ai.svg
Montgomery Bank & Trust,Ailey,19498,Ameris Bank,July 6 2012,6-Jul-12,21-Mar-14,7-06-2012-montgomery.svg
Glasgow Savings Bank,Glasgow,1056,Regional Missouri Bank,July 13 2012,13-Jul-12,19-Aug-14,2012-07-13-glasgow.svg
The Royal Palm Bank of Florida,Naples,57096,First National Bank of the Gulf Coast,July 20 2012,20-Jul-12,21-Mar-14,2012-07-20-royalpalmbank.svg
Second Federal Savings and Loan Association of Chicago,Chicago,27986,Hinsdale Bank & Trust Company,July 20 2012,20-Jul-12,14-Jan-13,2012-07-20-SecondFederalSavings.svg
Heartland Bank,Leawood,1361,Metcalf Bank,July 20 2012,20-Jul-12,30-Jul-13,2012-07-20-HeartlandBank.svg
First Cherokee State Bank,Woodstock,32711,Community & Southern Bank,July 20 2012,20-Jul-12,21-Mar-14,2012-07-20-FirstCherokeeBank.svg
Georgia Trust Bank,Buford,57847,Community & Southern Bank,July 20 2012,20-Jul-12,21-Mar-14,2012-07-20-GeorgiaTrustBank.svg
Jasper Banking Company,Jasper,16240,Stearns Bank N.A.,July 27 2012,27-Jul-12,21-Mar-14,2012-07-27-jasper.svg
Waukegan Savings Bank,Waukegan,28243,First Midwest Bank,August 3 2012,3-Aug-12,30-Jul-13,2012-08-03-waukegan.svg
First Commercial Bank,Bloomington,35246,Republic Bank & Trust Company,September 7 2012,7-Sep-12,17-Dec-12,2012-09-07-firstcommbk_mn.svg
Truman Bank,St. Louis,27316,Simmons First National Bank,September 14 2012,14-Sep-12,17-Dec-12,2012-09-14-truman.svg
First United Bank,Crete,20685,"Old Plank Trail Community Bank, National Association",September 28 2012,28-Sep-12,1-Nov-13,2012-09-28-firstunited.svg
GulfSouth Private Bank,Destin,58073,SmartBank,October 19 2012,19-Oct-12,21-Mar-14,2012-10-19-gulfsouth.svg
Excel Bank,Sedalia,19189,Simmons First National Bank,October 19 2012,19-Oct-12,22-Oct-13,2012-10-19-excelbank.svg
First East Side Savings Bank,Tamarac,28144,Stearns Bank N.A.,October 19 2012,19-Oct-12,21-Mar-14,2012-10-19-firsteastside.svg
NOVA Bank,Berwyn,27148,No Acquirer,October 26 2012,26-Oct-12,24-Jan-13,2012-10-26-novabank.svg
Citizens First National Bank,Princeton,3731,Heartland Bank and Trust Company,November 2 2012,2-Nov-12,22-Nov-13,2012-11-02-citizensfirst.svg
Heritage Bank of Florida,Lutz,35009,Centennial Bank,November 2 2012,2-Nov-12,21-Mar-14,2012-11-2-heritage_fl.svg
Hometown Community Bank,Braselton,57928,"CertusBank, National Association",November 16 2012,16-Nov-12,21-Mar-14,2012-11-16-hometown.svg
Community Bank of the Ozarks,Sunrise Beach,27331,Bank of Sullivan,December 14 2012,14-Dec-12,4-Apr-14,2012-12-14-cmbkozarks.svg
Westside Community Bank,University Place,33997,Sunwest Bank,January 11 2013,11-Jan-13,4-Apr-14,2013-01-11-westside-logo-ignore-sunwest.svg
1st Regents Bank,Andover,57157,First Minnesota Bank,January 18 2013,18-Jan-13,4-Apr-14,2013-01-18-1stregents.svg
Covenant Bank,Chicago,22476,Liberty Bank and Trust Company,February 15 2013,15-Feb-13,4-Mar-13,2013-02-16-CovenantBankLogo1.svg
Frontier Bank,LaGrange,16431,HeritageBank of the South,March 8 2013,8-Mar-13,21-Mar-14,2013-03-08-frontier-ga.svg
Gold Canyon Bank,Gold Canyon,58066,"First Scottsdale Bank, National Association",April 5 2013,5-Apr-13,4-Apr-14,2013-04-05-goldcanyon.svg
First Federal Bank,Lexington,29594,Your Community Bank,April 19 2013,19-Apr-13,24-Apr-14,2013-04-19-first-federal.svg
Chipola Community Bank,Marianna,58034,First Federal Bank of Florida,April 19 2013,19-Apr-13,21-Mar-14,2013-04-19-chippola.svg
Heritage Bank of North Florida,Orange Park,26680,FirstAtlantic Bank,April 19 2013,19-Apr-13,25-Apr-14,2013-04-19-heritageFL.svg
Douglas County Bank,Douglasville,21649,Hamilton State Bank,April 26 2013,26-Apr-13,25-Apr-14,2013-04-26-douglasscounty.svg
Parkway Bank,Lenoir,57158,"CertusBank, National Association",April 26 2013,26-Apr-13,21-Mar-14,2013-04-26-parkway.svg
Sunrise Bank,Valdosta,58185,Synovus Bank,May 2010 2013,10-May-13,26-Jun-14,2013-05-10-sunrisebank.svg
Pisgah Community Bank,Asheville,58701,"Capital Bank, N.A.",May 2010 2013,10-May-13,21-Mar-14,2013-05-10-pisgahcommbk.svg
Central Arizona Bank,Scottsdale,34527,Western State Bank,May 2014 2013,14-May-13,27-May-14,2013-05-14-centralaz.svg
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,35386,"North Shore Bank, FSB","May,31 2013",31-May-13,2-Jun-14,2013-05-31-kenosha.svg
1st Commerce Bank,North Las Vegas,58358,Plaza Bank,June 6 2013,6-Jun-13,12-Jul-13,2013-06-06-1stcommerceNV.svg
Mountain National Bank,Sevierville,34789,"First Tennessee Bank, National Association",June 7 2013,7-Jun-13,20-Jun-14,2013-07-13-mountain-tn.svg
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,34943,C1 Bank,August 2 2013,2-Aug-13,4-Aug-14,2013-08-02-firstcommswb.svg
Bank of Wausau,Wausau,35016,Nicolet National Bank,August 9 2013,9-Aug-13,24-Oct-13,2013-08-09-bankofwausau.svg
Sunrise Bank of Arizona,Phoenix,34707,"First Fidelity Bank, National Association",August 23 2013,23-Aug-13,12-Sep-14,2013-08-23-sunrisebank-az.svg
Community South Bank,Parsons,19849,"CB&S Bank, Inc.",August 23 2013,23-Aug-13,12-Sep-14,2013-08-23-commsouth.svg
First National Bank also operating as The National Bank of El Paso,Edinburg,14318,PlainsCapital Bank,September 13 2013,13-Sep-13,12-Sep-14,2013-08-30-jacksoncty.svg
The Community's Bank,Bridgeport,57041,No Acquirer,September 13 2013,13-Sep-13,20-Dec-13,2013-09-13-commbank-ct.svg
Bank of Jackson County,Graceville,14794,First Federal Bank of Florida,October 30 2013,30-Oct-13,21-Mar-14,2013-09-13-FirstNationalBankTX.svg
"Texas Community Bank, National Association",The Woodlands,57431,"Spirit of Texas Bank, SSB",December 13 2013,13-Dec-13,6-Feb-14,2013-12-13-texascomm.svg
DuPage National Bank,West Chicago,5732,Republic Bank of Chicago,January 17 2014,17-Jan-14,11-Apr-14,2014-01-17-dupage.svg
The Bank of Union,El Reno,17967,BancFirst,January 24 2014,24-Jan-14,11-Apr-14,2014-01-24-bankofunion.svg
Syringa Bank,Boise,34296,Sunwest Bank,January 31 2014,31-Jan-14,11-Apr-14,2014-01-31-syringabank.svg
Vantage Point Bank,Horsham,58531,First Choice Bank,February 28 2014,28-Feb-14,11-Apr-14,2014-02-28-millenniumbank.svg
"Millennium Bank, National Association ",Sterling,35096,WashingtonFirst Bank,February 28 2014,28-Feb-14,11-Apr-14,2014-02-28-vantagebank.svg
Allendale County Bank,Fairfax,15062,Palmetto State Bank,April 25 2014,25-Apr-14,18-Jul-14,2014-04-25-allendale.svg
AztecAmerica Bank ,Berwyn,57866,Republic Bank of Chicago,May 2016 2014,16-May-14,18-Jul-14,2014-05-14-aztec-american.svg
Columbia Savings Bank,Cincinnati,32284,"United Fidelity Bank, fsb","May,23 2014",23-May-14,18-Jul-14,2014-05-23-columbia-savings-bank.svg
Slavie Federal Savings Bank,Bel Air,32368,"Bay Bank, FSB","May,30 2014",30-May-14,18-Jul-14,2014-05-30-slaviefederal.svg
Valley Bank,Fort Lauderdale,21793,"Landmark Bank, National Association",June 20 2014,20-Jun-14,28-Jul-14,2014-06-26_Valley%20Bank%20Illinois.svg
Valley Bank,Moline,10450,Great Southern Bank,June 20 2014,20-Jun-14,28-Jul-14,2014-06-26_Valley%20Bank%20Illinois.svg
The Freedom State Bank ,Freedom,12483,Alva State Bank & Trust Company,June 27 2014,27-Jun-14,18-Jul-14,2014-06-27-freedom-state%20copy.svg
Eastside Commercial Bank,Conyers,58125,Community & Southern Bank,July 18 2014,18-Jul-14,22-Sep-14,2014-07-18-eastside.svg
"GreenChoice Bank, fsb",Chicago,28462,"Providence Bank, LLC",July 25 2014,25-Jul-14,22-Sep-14,2014-07-25-greenchoice.svg
NBRS Financial,Rising Sun,4862,Howard Bank,October 17 2014,17-Oct-14,26-Mar-15,2014-10-17-nbrs.svg
The National Republic Bank of Chicago,Chicago,916,State Bank of Texas,October 24 2014,24-Oct-14,6-Jan-16,2014-10-24-nrbc.svg
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,34738,"Bank of Southern California, N.A.",November 7 2014,7-Nov-14,6-Jan-16,2014-11-7-elpaseo.svg
Northern Star Bank,Mankato,34983,BankVista,December 19 2014,19-Dec-14,6-Jan-16,2014-12-19-NorthernStarBank.svg
First National Bank of Crestview ,Crestview,17557,First NBC Bank,January 16 2015,16-Jan-15,15-Jan-16,2015-01-15-FNB-Crestview.svg
Highland Community Bank,Chicago,20290,"United Fidelity Bank, fsb",January 23 2015,23-Jan-15,21-Apr-15,2015-01-23-highlandcomm.svg
Capitol City Bank & Trust Company,Atlanta,33938,First-Citizens Bank & Trust Company,February 13 2015,13-Feb-15,21-Apr-15,2015-02-13-capitolcity.svg
Doral Bank,San Juan,32102,Banco Popular de Puerto Rico,February 27 2015,27-Feb-15,13-May-15,2015-02-27-doral-logo.svg
Edgebrook Bank,Chicago,57772,Republic Bank of Chicago,May 2008 2015,8-May-15,23-Jul-15,2015-05-08-edgebrook.svg
Premier Bank,Denver,34112,"United Fidelity Bank, fsb",July 10 2015,10-Jul-15,17-Dec-15,2015-07-10-premierbank.svg
Hometown National Bank,Longview,35156,Twin City Bank,October 2 2015,2-Oct-15,12-Feb-16,2015-10-02-hometownnatl.svg
The Bank of Georgia,Peachtree City,35259,Fidelity Bank,October 2 2015,2-Oct-15,12-Feb-16,2015-10-02-the-bank-of-georgia.svg
North Milwaukee State Bank,Milwaukee,20364,First-Citizens Bank & Trust Company,March 11 2016,11-Mar-16,11-Mar-16,2016-03-11-nmsbank_transfer_logo.svg
Trust Company Bank,Memphis,9956,The Bank of Fayette County,April 29 2016,29-Apr-16,3-May-16,2016-04-29-trustcompany.svg
First CornerStone Bank,King of Prussia,35312,First-Citizens Bank & Trust Company,May 6 2016,6-May-16,6-May-16,2016-05-06-firstcornerstone.svg
