,City,CERT,Acquiring Institution,Closing Date string,Closing Date,Updated Date,
Horizon Bank,Pine City,9744,"Stearns Bank, N.A.",June 26 2009,26-Jun-09,20-Aug-12,2009-06-26-horizonbank.svg
Neighborhood Community Bank,Newnan,35285,CharterBank,June 26 2009,26-Jun-09,20-Aug-12,2009-06-26-neighborhoodcommbank.svg
Community Bank of West Georgia,Villa Rica,57436,No Acquirer,June 26 2009,26-Jun-09,17-Aug-12,2009-06-26-communitybankwestgeorgia.svg
Rock River Bank,Oregon,15302,The Harvard State Bank,July 2 2009,2-Jul-09,20-Aug-12,2009-06-02-RockRiverBank.svg
John Warner Bank,Clinton,12093,State Bank of Lincoln,July 2 2009,2-Jul-09,20-Aug-12,2009-07-02-JohnWarnerBank.svg
Founders Bank,Worth,18390,The PrivateBank and Trust Company,July 2 2009,2-Jul-09,20-Aug-12,2009-07-02-foundersbank.svg
Millennium State Bank of Texas,Dallas,57667,State Bank of Texas,July 2 2009,2-Jul-09,26-Oct-12,2009-07-02-MilleniumBank.svg
First National Bank of Danville,Danville,3644,"First Financial Bank, N.A.",July 2 2009,2-Jul-09,20-Aug-12,2009-07-02-firstnationalbankdanville.svg
Elizabeth State Bank,Elizabeth,9262,Galena State Bank and Trust Company,July 2 2009,2-Jul-09,20-Aug-12,2009-07-02-elizabethstatebank.svg
First State Bank of Winchester,Winchester,11710,The First National Bank of Beardstown,July 2 2009,2-Jul-09,20-Aug-12,2009-07-02-firststatebankwinchester.svg
Bank of Wyoming,Thermopolis,22754,Central Bank & Trust,July 10 2009,10-Jul-09,20-Aug-12,2009-07-10-BankofWyoming.svg
Vineyard Bank,Rancho Cucamonga,23556,California Bank & Trust,July 17 2009,17-Jul-09,20-Aug-12,2009-07-17-VineyardBank.svg
Temecula Valley Bank,Temecula,34341,First-Citizens Bank & Trust Company,July 17 2009,17-Jul-09,20-Aug-12,2009-07-17-TemeculaValleyBank.svg
First Piedmont Bank,Winder,34594,First American Bank and Trust Company,July 17 2009,17-Jul-09,15-Jan-13,2009-07-19-FirstPiedmontBank.svg
BankFirst,Sioux Falls,34103,"Alerus Financial, N.A.",July 17 2009,17-Jul-09,20-Aug-12,2009-07-17-bankfirst.svg
Waterford Village Bank,Williamsville,58065,"Evans Bank, N.A.",July 24 2009,24-Jul-09,1-Nov-13,2009-07-24-WaterfordVillageBank.svg
Security Bank of Houston County,Perry,27048,State Bank and Trust Company,July 24 2009,24-Jul-09,20-Aug-12,2009-07-24-securitybankofjonescounty.svg
Security Bank of Bibb County,Macon,27367,State Bank and Trust Company,July 24 2009,24-Jul-09,20-Aug-12,2009-07-24-securitybankofjonescounty.svg
Security Bank of North Metro,Woodstock,57105,State Bank and Trust Company,July 24 2009,24-Jul-09,20-Aug-12,2009-07-24-securitybankofjonescounty.svg
Security Bank of North Fulton,Alpharetta,57430,State Bank and Trust Company,July 24 2009,24-Jul-09,20-Aug-12,2009-07-24-securitybankofjonescounty.svg
Security Bank of Gwinnett County,Suwanee,57346,State Bank and Trust Company,July 24 2009,24-Jul-09,20-Aug-12,2009-07-24-securitybankofjonescounty.svg
